Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
80,DeMarre Carroll\carrode01,SF,33,SAS,8,88,9.0,.503,.500,.111,5.9,22.3,14.0,11.3,0.5,1.9,17.5,10.9,,0.0,0.0,0.1,.041,,-2.3,-0.4,-2.7,0.0
81,Jevon Carter\carteje01,PG,24,PHO,13,196,10.2,.552,.612,.082,1.7,12.4,7.0,16.7,2.9,2.2,22.8,14.3,,0.0,0.3,0.3,.062,,-1.8,2.1,0.3,0.1
82,Vince Carter\cartevi01,SF,43,ATL,11,169,7.2,.473,.636,.091,2.0,13.2,7.6,6.1,1.1,1.6,10.4,18.8,,-0.1,0.0,-0.1,-0.037,,-3.1,-3.4,-6.5,-0.2
83,Wendell Carter\cartewe01,C,20,CHI,17,483,18.7,.637,.079,.507,12.9,23.2,17.9,5.2,0.8,2.9,11.8,16.6,,1.3,0.6,1.9,.186,,0.3,0.7,1.0,0.4
84,Michael Carter-Williams\cartemi01,SG,28,ORL,10,149,11.3,.421,.362,.426,7.4,14.8,10.9,12.6,2.6,3.5,12.5,18.5,,-0.1,0.3,0.2,.052,,-3.4,2.6,-0.8,0.0
85,Alex Caruso\carusal01,PG,25,LAL,14,280,9.1,.496,.446,.081,0.4,9.3,4.9,13.4,2.9,1.6,18.2,14.2,,-0.1,0.5,0.4,.061,,-3.1,1.7,-1.4,0.0
86,Willie Cauley-Stein\caulewi01,C,26,GSW,14,313,16.4,.597,.000,.157,5.0,24.4,14.5,11.6,2.3,4.7,11.9,13.5,,0.4,0.3,0.7,.108,,-1.8,2.7,0.9,0.2
87,Tyson Chandler\chandty01,C,37,HOU,15,138,13.9,.719,.000,.467,13.2,19.8,16.5,5.7,1.3,4.3,21.7,6.8,,0.3,0.2,0.5,.161,,-1.2,2.6,1.4,0.1
88,Zylan Cheatham\cheatzy01,SF,24,NOP,2,20,-3.5,.250,.250,.000,0.0,16.3,7.9,6.0,0.0,0.0,20.0,10.1,,-0.1,0.0,-0.1,-0.141,,-9.4,-2.2,-11.6,0.0
89,Chris Chiozza\chiozch01,PG,24,WAS,2,35,5.1,.333,.444,.000,0.0,12.7,6.2,22.5,2.6,4.8,25.0,14.0,,-0.1,0.0,0.0,-0.059,,-6.3,1.4,-4.8,0.0
90,Marquese Chriss\chrisma01,PF,22,GSW,16,272,17.2,.558,.135,.382,9.3,20.0,14.5,16.3,1.9,4.8,18.1,19.6,,0.2,0.2,0.4,.076,,-1.4,1.5,0.1,0.1
91,Gary Clark\clarkga01,PF,25,HOU,4,10,18.6,.750,1.000,.000,0.0,10.1,5.1,15.7,0.0,0.0,0.0,16.2,,0.0,0.0,0.1,.248,,6.3,-5.3,1.0,0.0
92,Brandon Clarke\clarkbr01,PF,23,MEM,14,309,22.5,.672,.150,.167,7.6,23.7,15.6,8.8,1.3,4.2,10.4,19.3,,0.8,0.3,1.1,.171,,1.6,0.7,2.3,0.3
93,Jordan Clarkson\clarkjo01,SG,27,CLE,16,366,20.3,.576,.444,.380,3.2,7.5,5.3,17.3,1.5,1.4,8.3,25.5,,0.9,0.1,1.1,.139,,3.8,-2.6,1.2,0.3
94,Nicolas Claxton\claxtni01,PF,20,BRK,7,88,11.1,.534,.263,.526,7.2,14.1,10.7,11.1,0.5,0.9,11.4,12.4,,0.1,0.1,0.2,.085,,-2.1,-0.8,-2.9,0.0
95,Chris Clemons\clemoch01,SG,22,HOU,11,100,14.0,.620,.829,.098,2.0,7.1,4.6,9.1,0.9,1.7,10.5,19.3,,0.2,0.0,0.2,.107,,1.3,-3.2,-1.9,0.0
